Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity,COP Velocity
81,0.06622334886,54.40408446,-26.97568645,62.9006131,0.3995566752,-6.331011369,0.0238922062,-0.2067351591,-7.71715232,0.08513446978,506.9667969,384.9082031,891.875,2.8489111399999967,-0.9565763700000035,-4.4688599999958,131.54289999999946
82,0.06221370283,54.39571076,-26.99064981,62.89633307,0.3968787666,-6.337090534,0.02680529754,-0.2038696329,-7.722545402,0.08410935788,506.9785156,384.9082031,891.8867188,2.91309134,-1.0251119000000002,-4.280030000003876,-431.01960000001327
83,0.05820405679,54.38733706,-27.00561317,62.89205304,0.3942008579,-6.343169699,0.02971838887,-0.2010041067,-7.727938484,0.08308424598,506.9785156,384.9082031,891.8867188,2.9130913300000025,-1.0251119000000002,-4.280029999996771,0.0
84,0.05419441075,54.37896336,-27.02057652,62.88777301,0.3915229492,-6.349248863,0.03263148021,-0.1981385804,-7.733331566,0.08205913408,506.6386719,384.5957031,891.234375,2.91309134,-1.0251119000000002,-4.280030000003876,-63.70679999997719
85,0.05018476472,54.37058967,-27.03553988,62.88349297,0.3888450406,-6.355328028,0.03554457154,-0.1952730542,-7.738724648,0.08103402219,506.9589844,384.5957031,891.5546875,2.913091329999999,-1.0251118899999994,-4.280039999997598,1.1126000000558633
86,0.04617511868,54.36221597,-27.05050324,62.87921294,0.3861671319,-6.361407193,0.03845766288,-0.192407528,-7.74411773,0.08000891029,506.9863281,384.8847656,891.8710938,2.91309134,-1.0251119000000002,-4.280029999996771,6.166000000007443
87,0.04206113008,54.35462388,-27.06491589,62.87511619,0.3834240528,-6.367498947,0.0414157315,-0.1895438154,-7.749606671,0.07892376499,506.6308594,384.5820313,891.2128906,2.958068619999997,-1.0851452999999927,-4.096750000002203,-300.3866000000244
88,0.03794714149,54.34703179,-27.07932855,62.87101945,0.3806809737,-6.373590701,0.04437380013,-0.1866801027,-7.755095611,0.07783861969,506.6582031,384.5957031,891.2539063,2.9580686300000045,-1.0851453000000066,-4.096740000001375,-30.926200000067183
89,0.03383315289,54.3394397,-27.0937412,62.8669227,0.3779378946,-6.379682455,0.04733186875,-0.1838163901,-7.760584552,0.07675347438,507.0039063,383.5527344,890.5566406,2.958068619999997,-1.0851453099999935,-4.096749999995097,187.20710000002327
90,0.0297191643,54.33184761,-27.10815386,62.86282595,0.3751948155,-6.385774209,0.05028993738,-0.1809526775,-7.766073493,0.07566832908,506.9628906,383.9726563,890.9355469,2.958068629999998,-1.0851453000000066,-4.096750000002203,-57.251899999982925
91,0.0256051757,54.32425551,-27.12256652,62.85872921,0.3724517363,-6.391865963,0.05324800601,-0.1780889649,-7.771562433,0.07458318378,507.5839844,383.9726563,891.5566406,2.9580686300000045,-1.0851452999999927,-4.096740000001375,350.83750000001146
92,0.02141467023,54.31742993,-27.13642927,62.85480507,0.3696365462,-6.397956808,0.05623379395,-0.1752236969,-7.777124021,0.073448746,507.9199219,383.9863281,891.90625,2.985787939999998,-1.134437780000011,-3.9241400000022963,44.45299999997587
93,0.01722416477,54.31060435,-27.15029201,62.85088094,0.3668213561,-6.404047654,0.0592195819,-0.172358429,-7.782685609,0.07231430822,507.9199219,383.6679688,891.5878906,2.985787949999999,-1.1344377799999972,-3.9241299999943635,141.14890000007563
94,0.0130336593,54.30377877,-27.16415476,62.84695681,0.3640061659,-6.410138499,0.06220536985,-0.169493161,-7.788247196,0.07117987044,507.5976563,383.9726563,891.5703125,2.985787949999999,-1.1344377799999972,-3.924130000001469,-127.98370000007253
95,0.008843153832,54.29695319,-27.17801751,62.84303268,0.3611909758,-6.416229344,0.0651911578,-0.1666278931,-7.793808784,0.07004543265,507.5898438,383.9785156,891.5683594,2.985787949999999,-1.134437789999998,-3.924130000001469,-537.0609000000286
96,0.004652648366,54.29012761,-27.19188026,62.83910855,0.3583757856,-6.42232019,0.06817694575,-0.1637626252,-7.799370372,0.06891099487,507.9296875,383.6757813,891.6054688,2.985787949999999,-1.1344377799999972,-3.924130000001469,327.7820000000702
97,0.0004135724113,54.2840499,-27.2051956,62.83534253,0.3554842608,-6.428396973,0.07117537028,-0.1608928003,-7.804982159,0.06774028201,508.2382813,383.3710938,891.609375,2.9984245300000016,-1.170712860000006,-3.7660200000004806,566.2874999999303
98,-0.003825503543,54.2779722,-27.21851094,62.83157651,0.3525927361,-6.434473757,0.07417379482,-0.1580229754,-7.810593946,0.06656956915,508.5351563,383.3691406,891.9042969,2.9984245400000025,-1.170712860000006,-3.7660200000004806,182.86240000009002
