Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity,COP Velocity
1769,29.11293774,112.956951,24.48363398,13.93136409,22.31687808,10.06332098,-12.32986362,-8.268772244,-12.05348088,13.17066697,671.0195313,76.53710938,747.5566406,150.3753200000002,-9.850590000000992,288.8336700000007,-1296.6080000001057
1770,28.93562019,112.7371827,24.26753477,14.22019776,22.27162927,9.966580016,-12.1794883,-8.249109981,-12.0540281,13.16081637,670.0644531,77.27539063,747.3398438,150.3753200000002,-9.850600000000043,288.8336699999989,-1673.9379999999073
1771,28.75830263,112.5174145,24.05143556,14.50903143,22.22638046,9.869839048,-12.02911298,-8.229447717,-12.05457531,13.15096577,670.4003906,77.26171875,747.6621094,150.37531999999842,-9.850599999998266,288.8336700000007,362.79899999999543
1772,28.58098508,112.2976463,23.83533635,14.79786511,22.18113165,9.773098081,-11.87873766,-8.209785453,-12.05512252,13.14111517,669.7695313,76.5234375,746.2929688,150.3753200000002,-9.850600000000043,288.83367999999973,1805.0450000000637
1773,28.41020667,112.0789458,23.61022654,15.07180489,22.13965285,9.679366939,-11.74579608,-8.188517193,-12.05411592,13.12016176,669.4492188,75.91796875,745.3671875,132.94158000000067,-20.953410000000616,273.9397799999992,1729.816000000028
1774,28.23942825,111.8602454,23.38511672,15.34574468,22.09817405,9.585635798,-11.61285451,-8.167248932,-12.05310933,13.09920836,669.4628906,75.91796875,745.3808594,132.94156999999984,-20.95339999999979,273.93979,-15.704000000141605
1775,28.06864984,111.641545,23.16000691,15.61968447,22.05669526,9.491904656,-11.47991293,-8.145980671,-12.05210273,13.07825495,669.109375,76.23046875,745.3398438,132.94158000000067,-20.953410000000616,273.93979,-1075.753000000077
1776,27.89787142,111.4228446,22.93489709,15.89362426,22.01521646,9.398173515,-11.34697135,-8.12471241,-12.05109613,13.05730154,669.1503906,75.62304688,744.7734375,132.94157999999888,-20.953410000000616,273.93979,1604.3490000001839
1777,27.72709301,111.2041441,22.70978728,16.16756404,21.97373766,9.304442373,-11.21402977,-8.103444149,-12.05008954,13.03634813,668.8554688,75.31835938,744.1738281,132.94158000000067,-20.95340999999884,273.9397799999992,568.8829999999143
1778,27.5627639,110.985858,22.47614286,16.41831342,21.93633941,9.213055436,-11.09799861,-8.080974728,-12.04790175,13.0046173,668.5058594,75.61523438,744.1210938,116.03116000000036,-31.730830000000765,250.74938000000202,-427.887999999939
