Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity
957,-3.547382604,83.93826595,-7.912825754,38.88963224,5.097570813,-10.96753247,2.823351103,0.9061091221,-1.784604683,-0.8780557238,-1.404296875,572.6210938,571.2167969,1.5951029999996535,1.1141863000000418,-24.601730000000543
958,-3.54161196,83.91082297,-7.956166832,38.86503052,5.110547651,-10.97167079,2.824946207,0.9451993319,-1.789403262,-0.8769415374,-1.404296875,572.6269531,571.2226563,1.5951040000001804,1.114186399999939,-24.601719999999716
959,-3.535841317,83.88337999,-7.999507911,38.84042879,5.123524489,-10.97580911,2.82654131,0.9842895418,-1.794201841,-0.875827351,-1.7265625,572.9296875,571.203125,1.5951030000000976,1.11418640000005,-24.601730000000543
960,-3.530070674,83.85593701,-8.042848989,38.81582707,5.136501328,-10.97994743,2.828136414,1.023379752,-1.79900042,-0.8747131647,-1.7265625,573.2421875,571.515625,1.5951039999997363,1.1141862999999308,-24.601719999999716
961,-3.521998056,83.82850363,-8.086964682,38.79044632,5.149310404,-10.98427896,2.829231743,1.060636658,-1.803600444,-0.871481211,-1.69921875,573.2578125,571.5585938,1.0953289999999782,3.2319537000000675,-25.38074999999651
962,-3.513925437,83.80107025,-8.131080376,38.76506557,5.162119479,-10.98861049,2.830327072,1.097893564,-1.808200468,-0.8682492574,-1.9921875,573.2578125,571.265625,1.0953290000004223,3.2319535999999482,-25.380750000003616
963,-3.505852819,83.77363687,-8.175196069,38.73968481,5.174928555,-10.99294203,2.831422401,1.13515047,-1.812800492,-0.8650173037,-1.9921875,574.15625,572.1640625,1.0953289999999782,3.2319537000000675,-25.380759999997338
964,-3.497780201,83.74620349,-8.219311762,38.71430406,5.187737631,-10.99727356,2.832517731,1.172407376,-1.817400517,-0.86178535,-1.3828125,574.5898438,573.2070313,1.0953299999996169,3.2319536999999565,-25.38074999999651
965,-3.489707583,83.71877011,-8.263427455,38.68892331,5.200546707,-11.00160509,2.83361306,1.209664282,-1.822000541,-0.8585533964,-1.08984375,574.5898438,573.5,1.0953289999999782,3.2319536000000593,-25.380750000003616
966,-3.47948617,83.6916032,-8.308011984,38.66278773,5.213189061,-11.00610206,2.83422897,1.244902916,-1.826459883,-0.8533094149,-1.375,575.1972656,573.8222656,0.6159100000000528,5.243981499999939,-26.135580000001823
967,-3.469264758,83.66443629,-8.352596513,38.63665216,5.225831415,-11.01059903,2.834844881,1.280141549,-1.830919225,-0.8480654334,-1.03515625,575.2167969,574.1816406,0.6159110000001355,5.24398150000005,-26.135570000000996
